states,eta-chi,probabilities,W,Wp
"['HD_VA', 'HL_VR']","[0.4, 0.6]","[45.0, 90.0]","['W2', 3.1345054220516473, [1.3578228828038075]]","['Wp2', -21.840507103828898, [1.6467296305576702]]"
"['HD_VA', 'HL_VR']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W1', 1.761391581383681, [2.029547098289293]]","['Wp2', -2.6041731130605306, [2.137117055832866]]"
"['HD_VA', 'HL_VR']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W2', 1.9629237624879015, [0.010084609873087588]]","['Wp2', -5.906733367516043, [0.183588274798934]]"
"['HD_VA', 'HL_VR']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W1', 2.086153405167357, [1.1801323678808586]]","['Wp2', -9.58163473252127, [2.1549782645222106]]"
"['HD_VA', 'HL_VR']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W1', 2.1689903421089802, [3.0056586481898413]]","['Wp2', -13.463328994736724, [2.12228464357022]]"
"['HD_VA', 'HL_VR']","[0.5, 0.5]","[45.0, 90.0]","['W1', 2.2283998428682064, [2.9026576377166653]]","['Wp2', -17.46808442363039, [1.0140466402831414]]"
"['HD_VA', 'HD_iVA']","[0.1, 0.9]","[45.0, 0.057295779513082325]","['W3', 4.262298904947061, [2.9495255478400164]]","['Wp3', -0.022440662950342416, [0.5045546786739923]]"
"['HD_VA', 'HD_iVA']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W2', 5.34611467057127, [1.2382996015694354]]","['Wp3', -7.067894717007622, [1.4173205436957566]]"
"['HD_VA', 'HD_iVA']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W3', 5.8232593500702166, [2.7047834636533454]]","['Wp3', -14.113348771064903, [2.1137856299045397]]"
"['HD_VA', 'HD_iVA']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W1', 6.081500181209689, [3.0643752242584594]]","['Wp3', -21.158802825122184, [2.572899420293517]]"
"['HD_VA', 'HD_iVA']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W1', 6.241492811454687, [2.943481139577594]]","['Wp3', -28.20425687917946, [2.987971029472354]]"
"['HD_VA', 'HD_iVA']","[0.1, 0.9]","[45.0, 90.0]","['W1', 6.349852423280352, [1.1498571787873526]]","['Wp3', -35.24971093323674, [3.0023990469989172]]"
"['HD_VA', 'HD_iVA']","[0.2, 0.8]","[45.0, 0.057295779513082325]","['W2', 3.416387149405529, [1.0964179088492747]]","['Wp3', -0.020550738208274584, [2.521102370950753]]"
"['HD_VA', 'HD_iVA']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W1', 4.313373863548281, [2.603981803440128]]","['Wp3', -6.472645408662321, [1.726115632504772]]"
"['HD_VA', 'HD_iVA']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W3', 4.735203887113144, [1.6321404484670596]]","['Wp3', -12.92474007911637, [1.581829226787095]]"
"['HD_VA', 'HD_iVA']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W4', 4.973386508208561, [0.6408350102965177]]","['Wp3', -19.37683474957042, [2.9328825747906433]]"
"['HD_VA', 'HD_iVA']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W1', 5.124976508363664, [1.3823205790590571]]","['Wp3', -25.828929420024465, [2.8945145908120256]]"
"['HD_VA', 'HD_iVA']","[0.2, 0.8]","[45.0, 90.0]","['W1', 5.2295277274926955, [1.6982877518522717]]","['Wp3', -32.28102409047851, [0.8210612225945794]]"
"['HD_VA', 'HD_iVA']","[0.3, 0.7]","[45.0, 0.057295779513082325]","['W3', 2.6488888388156604, [2.31132376254505]]","['Wp3', -0.01845547728319984, [1.8051585835633204]]"
"['HD_VA', 'HD_iVA']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W1', 3.3610293048798385, [1.4478388421745467]]","['Wp3', -5.812723566965777, [2.704915884039691]]"
"['HD_VA', 'HD_iVA']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W1', 3.712777701498583, [0.9232349573662669]]","['Wp3', -11.606991656648354, [2.368319485897695]]"
"['HD_VA', 'HD_iVA']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W2', 3.918122038354345, [2.973261893336704]]","['Wp3', -17.401259746330936, [2.895667379748577]]"
"['HD_VA', 'HD_iVA']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W3', 4.0517501899139905, [3.0022208350425577]]","['Wp3', -23.19552783601351, [2.992699826670146]]"
"['HD_VA', 'HD_iVA']","[0.3, 0.7]","[45.0, 90.0]","['W3', 4.145356507664552, [2.5092777978186396]]","['Wp3', -28.98979592569609, [2.982589107871583]]"
"['HD_VA', 'HD_iVA']","[0.4, 0.6]","[45.0, 0.057295779513082325]","['W2', 1.9674726972033632, [1.9680154676006725]]","['Wp3', -0.01617581532968089, [1.3347934680677045]]"
"['HD_VA', 'HD_iVA']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W1', 2.5058959569037658, [1.5449967836597573]]","['Wp3', -5.094722912819062, [2.1098348186429114]]"
"['HD_VA', 'HD_iVA']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W3', 2.7818407056665055, [1.2358808618286743]]","['Wp3', -10.173270010308439, [3.1044639825972045]]"
"['HD_VA', 'HD_iVA']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W1', 2.9471915351897326, [1.0429969886934134]]","['Wp3', -15.251817107797823, [1.9040239598576851]]"
"['HD_VA', 'HD_iVA']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W3', 3.056754489901728, [2.4710469143820357]]","['Wp3', -20.330364205287204, [1.619504200648177]]"
"['HD_VA', 'HD_iVA']","[0.4, 0.6]","[45.0, 90.0]","['W3', 3.134505422051645, [1.031191386538243]]","['Wp3', -25.408911302776588, [0.07599224380180426]]"
"['HD_VA', 'HD_iVA']","[0.5, 0.5]","[45.0, 0.057295779513082325]","['W4', 1.3789472940610246, [2.1721740982813396]]","['Wp3', -0.013734529976403346, [2.9327776339406983]]"
"['HD_VA', 'HD_iVA']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W2', 1.761391581383681, [2.646707351865604]]","['Wp3', -4.325817471418947, [2.7891991559092952]]"
"['HD_VA', 'HD_iVA']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W3', 1.962923762487774, [2.690681554963525]]","['Wp3', -8.637900412861494, [0.5229337873487134]]"
"['HD_VA', 'HD_iVA']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W4', 2.086153405167354, [2.5535858923711703]]","['Wp3', -12.949983354304038, [1.0193733157104907]]"
"['HD_VA', 'HD_iVA']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W2', 2.168990342108982, [2.2073212923671295]]","['Wp3', -17.262066295746585, [1.3806323255788762]]"
"['HD_VA', 'HD_iVA']","[0.5, 0.5]","[45.0, 90.0]","['W1', 2.228399842868207, [0.9483939317540496]]","['Wp3', -21.57414923718913, [1.321108759417376]]"
"['HD_VA', 'HA_iVD']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W2', 6.081500181209784, [0.26230442863512865]]","['Wp3', -2.8635448384726154, [1.5817306818991947]]"
"['HD_VA', 'HA_iVD']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W2', 6.241492811454688, [1.5065193235318506]]","['Wp3', -8.98165459259653, [2.7156646399235367]]"
"['HD_VA', 'HA_iVD']","[0.1, 0.9]","[45.0, 90.0]","['W1', 6.349852423280352, [2.679736836871459]]","['Wp3', -15.423035092903131, [2.030649205367046]]"
"['HD_VA', 'HA_iVD']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W2', 4.973386508208561, [2.267225805309463]]","['Wp3', -2.4237957749145065, [0.977884622519965]]"
"['HD_VA', 'HA_iVD']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W2', 5.124976508363663, [2.625764873130183]]","['Wp3', -7.713696660655259, [2.2344490121017757]]"
"['HD_VA', 'HA_iVD']","[0.2, 0.8]","[45.0, 90.0]","['W2', 5.2295277274926955, [1.676024283808132]]","['Wp3', -13.385907920067176, [0.02417438160264393]]"
"['HD_VA', 'HA_iVD']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W1', 3.918122038354346, [2.8952004870994537]]","['Wp3', -1.9734912467735366, [1.1106949923500533]]"
"['HD_VA', 'HA_iVD']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W1', 4.051750189913992, [2.241358249870133]]","['Wp3', -6.38218213082074, [1.212515452905725]]"
"['HD_VA', 'HA_iVD']","[0.3, 0.7]","[45.0, 90.0]","['W1', 4.1453565076645535, [1.8401395904137268]]","['Wp3', -11.212849195227168, [1.1369737700268414]]"
"['HD_VA', 'HA_iVD']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W2', 2.9471915351897318, [1.3015363764185484]]","['Wp3', -1.530495868617078, [1.725063383636919]]"
"['HD_VA', 'HA_iVD']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W1', 3.0567544899017296, [2.4956239736632977]]","['Wp3', -5.034896319425847, [2.792676923566202]]"
"['HD_VA', 'HA_iVD']","[0.4, 0.6]","[45.0, 90.0]","['W2', 3.1345054220516473, [1.4549581617283436]]","['Wp3', -8.971567806422925, [1.9773432341647852]]"
"['HD_VA', 'HA_iVD']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W2', 2.086153405167357, [1.6879374039136217]]","['Wp3', -1.1133667665080023, [1.3096765982957708]]"
"['HD_VA', 'HA_iVD']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W2', 2.1689903421089816, [1.0164391624024367]]","['Wp3', -3.7272368726029357, [0.18586835623255699]]"
"['HD_VA', 'HA_iVD']","[0.5, 0.5]","[45.0, 90.0]","['W2', 2.228399842868244, [0.9050605965327683]]","['Wp3', -6.746075574021567, [1.3454301270343063]]"
"['HD_iVA', 'phi plus, phi minus']","[0.1, 0.9]","[45.0, 0.057295779513082325]","['W4', 0.022488686660127932, [2.652691655384185]]","['Wp3', -17.596493271968505, [1.6701350566810549]]"
"['HD_iVA', 'phi plus, phi minus']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W2', 4.256820764335048, [1.376339526544788]]","['Wp3', -8.708784719104376, [2.222500185709118]]"
"['HD_iVA', 'phi plus, phi minus']","[0.2, 0.8]","[45.0, 0.057295779513082325]","['W2', 0.01891343772523335, [0.8922783204100819]]","['Wp3', -16.11299573832161, [1.4717717000175228]]"
"['HD_iVA', 'phi plus, phi minus']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W2', 3.408363634256865, [3.063923466009335]]","['Wp3', -7.559574043053265, [2.545574937387368]]"
"['HD_iVA', 'phi plus, phi minus']","[0.3, 0.7]","[45.0, 0.057295779513082325]","['W2', 0.015217408244398989, [1.9653617568280715]]","['Wp3', -14.468754315255197, [2.922487470179753]]"
"['HD_iVA', 'phi plus, phi minus']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W2', 2.6432132438598868, [2.134831923354548]]","['Wp3', -6.49139482373924, [1.4004946201165271]]"
"['HD_iVA', 'phi plus, phi minus']","[0.4, 0.6]","[45.0, 0.057295779513082325]","['W2', 0.011257726520898403, [2.9018505819681035]]","['Wp3', -12.680156991668166, [2.962973276031473]]"
"['HD_iVA', 'phi plus, phi minus']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W2', 1.964740473543413, [0.7906827388404049]]","['Wp3', -5.517289018226898, [2.1050959107257814]]"
"['HD_iVA', 'phi plus, phi minus']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W2', 0.08498720849384256, [2.897261926631409]]","['Wp1', -2.0885242975923024, [2.383998727517692]]"
"['HD_iVA', 'phi plus, phi minus']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W2', 1.3635937350446121, [0.8800101164758568]]","['Wp3', -4.628065772314396, [1.5007655343845707]]"
"['HD_iVA', 'phi plus, phi minus']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W2', 0.4649085644401134, [1.1585133417563083]]","['Wp1', -1.7557644267027288, [2.23918575328792]]"
"['HD_iVA', 'HR_VL']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W4', 3.2050985386027855, [0.1612366027208318]]","['Wp3', -8.057654178702638, [1.1647749562951522]]"
"['HD_iVA', 'HR_iVL']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W1', 2.58384558704111, [2.2476116191051396]]","['Wp3', -16.832378755192472, [0.05087003330320141]]"
"['HD_iVA', 'HR_iVL']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W1', 4.888456884774843, [2.6095863024966293]]","['Wp3', -16.3002190174854, [2.2232298021889387]]"
"['HD_iVA', 'HR_iVL']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W1', 7.022653367975048, [1.86634269551821]]","['Wp3', -15.921487471769707, [1.2531765826825139]]"
"['HD_iVA', 'HR_iVL']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W2', 9.046130854072945, [1.5452199303391112]]","['Wp3', -15.639885126396036, [3.126385538717197]]"
"['HD_iVA', 'HR_iVL']","[0.1, 0.9]","[45.0, 90.0]","['W6', 10.951347980600861, [1.5161368392554695]]","['Wp3', -15.423035092903131, [2.245468404747593]]"
"['HD_iVA', 'HR_iVL']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W1', 2.1337702658127538, [2.63798971665798]]","['Wp3', -15.118650471426713, [0.6957882319578292]]"
"['HD_iVA', 'HR_iVL']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W1', 3.999982564831945, [1.8643937672538313]]","['Wp3', -14.44951349536462, [1.5715770684721553]]"
"['HD_iVA', 'HR_iVL']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W1', 5.713547497853787, [2.5425170890847353]]","['Wp3', -13.983775604741858, [1.4274081290258696]]"
"['HD_iVA', 'HR_iVL']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W2', 7.3325402839376315, [1.2122719998176568]]","['Wp3', -13.643800376760085, [1.4240898910858004]]"
"['HD_iVA', 'HR_iVL']","[0.2, 0.8]","[45.0, 90.0]","['W2', 8.889785965624254, [0.5013345277414112]]","['Wp3', -13.385907920067183, [1.3016110255378683]]"
"['HD_iVA', 'HR_iVL']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W2', 1.6955699763309577, [2.3569408565296994]]","['Wp3', -13.228613156750589, [1.978355280986773]]"
"['HD_iVA', 'HR_iVL']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W1', 3.1527765836423676, [0.8862582855053468]]","['Wp3', -12.427333397924993, [2.06035109554065]]"
"['HD_iVA', 'HR_iVL']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W1', 4.481843800360647, [2.4920675302142117]]","['Wp3', -11.885928163011705, [2.7205472464637963]]"
"['HD_iVA', 'HR_iVL']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W2', 5.734498224191366, [2.534613997470135]]","['Wp3', -11.50005060494657, [1.3370151831103527]]"
"['HD_iVA', 'HR_iVL']","[0.3, 0.7]","[45.0, 90.0]","['W1', 6.93846580120326, [1.4789054800141348]]","['Wp3', -11.212849195227166, [2.2249422416053797]]"
"['HD_iVA', 'HR_iVL']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W2', 1.2848675790646922, [1.7318154632876517]]","['Wp3', -11.18829047316762, [2.101845438974925]]"
"['HD_iVA', 'HR_iVL']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W2', 2.3724583613430994, [0.7321823312047337]]","['Wp3', -10.273620846618453, [1.463634310972527]]"
"['HD_iVA', 'HR_iVL']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W1', 3.3592661169100584, [3.0985718220230285]]","['Wp3', -9.67991164414871, [3.114916359021549]]"
"['HD_iVA', 'HR_iVL']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W1', 4.287767834009425, [1.3636166791652855]]","['Wp3', -9.269695494776112, [2.0761270159264145]]"
"['HD_iVA', 'HR_iVL']","[0.4, 0.6]","[45.0, 90.0]","['W1', 5.179803759795137, [1.8775332932170008]]","['Wp3', -8.971567806422925, [2.9711465095097154]]"
"['HD_iVA', 'HR_iVL']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W1', 0.915114063629235, [0.8592968815432945]]","['Wp3', -9.0302231027062, [0.055421815436951544]]"
"['HD_iVA', 'HR_iVL']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W1', 1.679884059499975, [2.0519098064817465]]","['Wp3', -8.041139578108098, [1.224198154016257]]"
"['HD_iVA', 'HR_iVL']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W1', 2.3710381272913787, [1.4895057039678659]]","['Wp3', -7.43366265325519, [0.16033797025055305]]"
"['HD_iVA', 'HR_iVL']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W1', 3.0205990355045724, [2.5918882130747707]]","['Wp3', -7.0305392272705305, [1.7260479987511028]]"
"['HD_iVA', 'HR_iVL']","[0.5, 0.5]","[45.0, 90.0]","['W1', 3.64450976406885, [1.9531907703837845]]","['Wp3', -6.746075574021568, [2.524297255791851]]"
"['HD_iVA', 'HL_VR']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W6', 3.179743977380369, [1.9325084399600776]]","['Wp2', -11.15589710125796, [1.2573912026354743]]"
"['HD_iVA', 'HL_VR']","[0.2, 0.8]","[45.0, 90.0]","['W6', 3.179743977380369, [1.2861502330774959]]","['Wp2', -22.93518708929431, [2.6844646773995158]]"
"['HD_iVA', 'HL_VR']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W6', 4.002551018575975, [1.4986170459704722]]","['Wp2', -9.471156839309847, [1.568212093116666]]"
"['HD_iVA', 'HL_VR']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W1', 3.490625257696033, [2.1063756497968495]]","['Wp3', -6.565678196050737, [2.0195358195634756]]"
"['HD_iVA', 'HL_VR']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W1', 1.557210535416971, [2.8339796186181547]]","['Wp3', -7.181027429187166, [1.1495795816520646]]"
"['HD_iVA', 'HL_iVR']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W1', 2.583845587041144, [3.1066124139334494]]","['Wp3', -16.83237875519247, [2.603462915935209]]"
"['HD_iVA', 'HL_iVR']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W1', 4.8884568847748415, [2.8851490900871157]]","['Wp3', -16.300219017485404, [2.461898222966348]]"
"['HD_iVA', 'HL_iVR']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W1', 7.022653367975045, [1.9400004228402674]]","['Wp3', -15.921487471769709, [1.9936268604221687]]"
"['HD_iVA', 'HL_iVR']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W1', 9.046130854072945, [0.7457836993592595]]","['Wp3', -15.639885126396038, [2.3095201203186817]]"
"['HD_iVA', 'HL_iVR']","[0.1, 0.9]","[45.0, 90.0]","['W6', 10.951347980600861, [2.1913185308499616]]","['Wp3', -15.423035092903119, [1.6981354996747187]]"
"['HD_iVA', 'HL_iVR']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W1', 2.1337702658127524, [2.3445137911878597]]","['Wp3', -15.118650471426722, [1.7473969919777093]]"
"['HD_iVA', 'HL_iVR']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W2', 3.9999825648319445, [2.9019869814019246]]","['Wp3', -14.449513495364606, [1.2239039985623632]]"
"['HD_iVA', 'HL_iVR']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W2', 5.713547497853783, [0.2650491525185055]]","['Wp3', -13.983775604741862, [1.7158595116951973]]"
"['HD_iVA', 'HL_iVR']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W1', 7.332540283937631, [2.403228526539023]]","['Wp3', -13.643800376760097, [2.63820883806268]]"
"['HD_iVA', 'HL_iVR']","[0.2, 0.8]","[45.0, 90.0]","['W2', 8.889785965624256, [1.2301316456828968]]","['Wp3', -13.385907920067186, [1.8485644813576005]]"
"['HD_iVA', 'HL_iVR']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W2', 1.695569976330958, [0.6186906383982027]]","['Wp3', -13.228613156750592, [0.3778366198179073]]"
"['HD_iVA', 'HL_iVR']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W2', 3.1527765836423676, [1.6422081660069503]]","['Wp3', -12.427333397924993, [1.2842845239852532]]"
"['HD_iVA', 'HL_iVR']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W2', 4.481843800360645, [1.6552474508036186]]","['Wp3', -11.885928163011709, [2.35844610050463]]"
"['HD_iVA', 'HL_iVR']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W2', 5.734498224191365, [2.3736113211604875]]","['Wp3', -11.50005060494657, [3.0627076641243947]]"
"['HD_iVA', 'HL_iVR']","[0.3, 0.7]","[45.0, 90.0]","['W1', 6.938465801203261, [0.9939332040029313]]","['Wp3', -11.212849195227166, [2.279634493976569]]"
"['HD_iVA', 'HL_iVR']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W1', 1.2848675790646924, [2.1842218158977933]]","['Wp3', -11.188290473167564, [2.8715627416808602]]"
"['HD_iVA', 'HL_iVR']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W2', 2.3724583613430985, [1.9001208679867152]]","['Wp3', -10.273620846618455, [0.9617599571831885]]"
"['HD_iVA', 'HL_iVR']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W2', 3.359266116910058, [1.6011776036373448]]","['Wp3', -9.679911644148708, [2.208008670485397]]"
"['HD_iVA', 'HL_iVR']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W1', 4.287767834009425, [0.6964856750581776]]","['Wp3', -9.269695494776116, [1.8781314791178654]]"
"['HD_iVA', 'HL_iVR']","[0.4, 0.6]","[45.0, 90.0]","['W1', 5.179803759795137, [0.8129848783461612]]","['Wp3', -8.97156780642291, [0.5959887522484006]]"
"['HD_iVA', 'HL_iVR']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W1', 0.9151140636292352, [2.902586941572107]]","['Wp3', -9.030223102706204, [2.5338588481140913]]"
"['HD_iVA', 'HL_iVR']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W1', 1.6798840594999749, [0.9436614685585883]]","['Wp3', -8.041139578108105, [2.3570976623631856]]"
"['HD_iVA', 'HL_iVR']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W2', 2.3710381272913796, [0.36162935026398635]]","['Wp3', -7.433662653255187, [1.4036990339242694]]"
"['HD_iVA', 'HL_iVR']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W2', 3.0205990355045733, [2.865433598890198]]","['Wp3', -7.0305392272705385, [0.2613391676797802]]"
"['HD_iVA', 'HL_iVR']","[0.5, 0.5]","[45.0, 90.0]","['W1', 3.64450976406885, [2.7655565245840306]]","['Wp3', -6.746075574021561, [0.18789538326648295]]"
"['HD_iVA', 'HD_VA']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W3', 2.583845587041109, [0.7655481213132713]]","['Wp3', -17.62485546661837, [1.4855933724193522]]"
"['HD_iVA', 'HD_VA']","[0.1, 0.9]","[45.0, 36.03437746770785]","['W4', 4.888456884774839, [0.6379368333645898]]","['Wp3', -17.62485546661837, [2.8975457003046463]]"
"['HD_iVA', 'HD_VA']","[0.1, 0.9]","[45.0, 54.022918311805235]","['W3', 7.022653367975043, [2.524375308506754]]","['Wp3', -17.62485546661837, [1.0648292722464185]]"
"['HD_iVA', 'HD_VA']","[0.1, 0.9]","[45.0, 72.01145915590261]","['W3', 9.046130854072947, [2.564005916673826]]","['Wp3', -17.62485546661837, [1.3902707712797475]]"
"['HD_iVA', 'HD_VA']","[0.1, 0.9]","[45.0, 90.0]","['W4', 10.99496891758605, [2.239634722336143]]","['Wp3', -17.624855466618374, [2.0870190928231356]]"
"['HD_iVA', 'HD_VA']","[0.2, 0.8]","[45.0, 18.045836623610466]","['W4', 2.1337702658127546, [0.7737696088102004]]","['Wp3', -16.140512045239262, [1.4220012314749]]"
"['HD_iVA', 'HD_VA']","[0.2, 0.8]","[45.0, 36.03437746770785]","['W2', 3.9999825648319445, [1.2398551691174957]]","['Wp3', -16.140512045239255, [2.9412653354868468]]"
"['HD_iVA', 'HD_VA']","[0.2, 0.8]","[45.0, 54.022918311805235]","['W2', 5.713547497853782, [0.0862893290379381]]","['Wp3', -16.14051204523926, [1.6937682629366555]]"
"['HD_iVA', 'HD_VA']","[0.2, 0.8]","[45.0, 72.01145915590261]","['W3', 7.332540283937631, [2.339130033675664]]","['Wp3', -16.140512045239262, [2.6490613120529196]]"
"['HD_iVA', 'HD_VA']","[0.2, 0.8]","[45.0, 90.0]","['W2', 8.889785965624252, [1.992684589380589]]","['Wp3', -16.140512045239262, [2.6827692616678345]]"
"['HD_iVA', 'HD_VA']","[0.3, 0.7]","[45.0, 18.045836623610466]","['W1', 1.6955699763309584, [1.3961626401815688]]","['Wp3', -14.494897962848043, [2.198085699590835]]"
"['HD_iVA', 'HD_VA']","[0.3, 0.7]","[45.0, 36.03437746770785]","['W1', 3.1527765836423676, [1.8560990421223544]]","['Wp3', -14.494897962848043, [1.2443228393270687]]"
"['HD_iVA', 'HD_VA']","[0.3, 0.7]","[45.0, 54.022918311805235]","['W3', 4.481843800360644, [1.3283355494567224]]","['Wp3', -14.494897962848043, [2.209775541575251]]"
"['HD_iVA', 'HD_VA']","[0.3, 0.7]","[45.0, 72.01145915590261]","['W3', 5.734498224191365, [2.5757277810164902]]","['Wp3', -14.494897962848045, [3.1280166366838005]]"
"['HD_iVA', 'HD_VA']","[0.3, 0.7]","[45.0, 90.0]","['W3', 6.938465801203258, [2.039872345841654]]","['Wp3', -14.494897962848047, [0.4103159193930088]]"
"['HD_iVA', 'HD_VA']","[0.4, 0.6]","[45.0, 18.045836623610466]","['W1', 1.2848675790646922, [3.026024417249343]]","['Wp3', -12.704455651388292, [2.3717755637310387]]"
"['HD_iVA', 'HD_VA']","[0.4, 0.6]","[45.0, 36.03437746770785]","['W2', 2.3724583613431, [2.692373372908489]]","['Wp3', -12.70445565138829, [1.5314486820927335]]"
"['HD_iVA', 'HD_VA']","[0.4, 0.6]","[45.0, 54.022918311805235]","['W3', 3.359266116910059, [2.6683048184804457]]","['Wp3', -12.70445565138829, [0.1289320806721522]]"
"['HD_iVA', 'HD_VA']","[0.4, 0.6]","[45.0, 72.01145915590261]","['W1', 4.287767834009425, [2.224383696254671]]","['Wp3', -12.70445565138829, [1.2948600389621328]]"
"['HD_iVA', 'HD_VA']","[0.4, 0.6]","[45.0, 90.0]","['W4', 5.1798037597951385, [0.3074589433609594]]","['Wp3', -12.70445565138829, [2.877101132562819]]"
"['HD_iVA', 'HD_VA']","[0.5, 0.5]","[45.0, 18.045836623610466]","['W4', 0.9151140636292348, [1.4341806627870437]]","['Wp3', -10.787074618594563, [2.5151075633179207]]"
"['HD_iVA', 'HD_VA']","[0.5, 0.5]","[45.0, 36.03437746770785]","['W1', 1.6798840594999742, [1.6585585695307627]]","['Wp3', -10.787074618594565, [1.2287496577600603]]"
"['HD_iVA', 'HD_VA']","[0.5, 0.5]","[45.0, 54.022918311805235]","['W3', 2.371038127291377, [1.214096215947401]]","['Wp3', -10.787074618594563, [1.0833334616013497]]"
"['HD_iVA', 'HD_VA']","[0.5, 0.5]","[45.0, 72.01145915590261]","['W1', 3.0205990355045715, [1.710805787505931]]","['Wp3', -10.787074618594563, [2.446917234613588]]"
"['HD_iVA', 'HD_VA']","[0.5, 0.5]","[45.0, 90.0]","['W4', 3.6445097640688457, [2.720280798301776]]","['Wp3', -10.787074618594563, [1.0712720285680635]]"
"['HD_iVA', 'HA_VD']","[0.1, 0.9]","[45.0, 18.045836623610466]","['W1', 2.5838455870411106, [1.9425224656291467]]","['Wp3', -9.472850105592101, [1.4204930581152537]]"
